val,class
0.026449,defect
-0.014627,defect
-0.05571,defect
0.054426,defect
-0.004716,defect
0.022592,defect
-0.006393,defect
0.070582,defect
0.057179,defect
-0.019259,defect
0.008236,defect
-0.003729,defect
0.008091,defect
-0.039285,defect
-0.012756,defect
-0.032749,defect
0.016122,defect
-0.003914,defect
0.058804,defect
0.062239,defect
0.032827,defect
0.031887,defect
0.015543,defect
0.038996,defect
-0.073718,defect
-0.023322,defect
0.023557,defect
-0.016449,defect
-0.01237,defect
-0.001719,defect
0.030334,defect
0.037028,defect
0.055789,defect
0.098288,defect
-0.00515,defect
-0.052679,defect
0.078205,defect
0.049067,defect
-0.083919,defect
-0.072601,defect
0.035666,defect
0.048129,defect
-0.024112,defect
0.001682,defect
0.075148,defect
0.041735,defect
-0.016922,defect
0.020279,defect
0.008416,defect
0.008151,defect
-0.037483,defect
0.022104,defect
0.063676,defect
-0.052768,defect
-0.030575,defect
0.045207,defect
0.094049,defect
0.030058,defect
0.006633,defect
0.040246,defect
0.015276,defect
-0.045205,defect
-0.065558,defect
0.010514,defect
0.002272,defect
-0.031993,defect
-0.004872,defect
0.061508,defect
0.05423,defect
0.014598,defect
0.020419,defect
0.031704,defect
0.041248,defect
-0.00834,defect
-0.039038,defect
-0.065641,defect
0.013483,defect
0.006717,defect
0.024496,defect
0.007535,defect
-0.01696,defect
0.083302,defect
0.073379,defect
0.03471,defect
-0.089243,defect
-0.012076,defect
0.048318,defect
-0.086152,defect
-0.049435,defect
0.059443,defect
0.025576,defect
-0.004549,defect
0.03611,defect
0.056322,defect
0.044871,defect
-0.053688,defect
-0.012612,defect
0.02417,defect
0.00436,defect
0.003522,defect
-0.04885,defect
-0.028957,defect
0.064951,defect
0.019656,defect
-0.062329,defect
0.01293,defect
0.134709,defect
0.058934,defect
-0.111305,defect
-0.027271,defect
0.039861,defect
0.118792,defect
-0.103077,defect
-0.119113,defect
0.136442,defect
0.071612,defect
0.001755,defect
-0.042521,defect
0.007152,defect
0.162339,defect
0.001316,defect
-0.193575,defect
-0.083671,defect
0.093979,defect
0.033069,defect
-0.122055,defect
-0.061946,defect
0.040069,defect
0.055584,defect
-0.020917,defect
0.016859,defect
-0.058129,defect
0.054467,defect
-0.022126,defect
-0.041781,defect
-0.033238,defect
0.04279,defect
0.008844,defect
-0.017533,defect
0.079001,defect
-0.112372,defect
0.028317,defect
0.058678,defect
0.148243,defect
-0.058552,defect
-0.05589,defect
0.069583,defect
0.009558,defect
-0.006617,defect
-0.099583,defect
-0.017031,defect
0.006085,defect
-0.019807,defect
-0.071316,defect
0.046296,defect
0.108939,defect
-0.038721,defect
-0.045384,defect
-0.02355,defect
0.122587,defect
0.002794,defect
-0.159125,defect
-0.008976,defect
0.065687,defect
0.110412,defect
-0.179207,defect
-0.031955,defect
0.098214,defect
0.010846,defect
-0.096717,defect
-0.060249,defect
0.024482,defect
-0.017351,defect
-0.000777,defect
-0.03314,defect
-0.003909,defect
-0.077278,defect
0.053117,defect
0.07545,defect
-0.070813,defect
-0.099536,defect
0.072557,defect
0.054065,defect
-0.015469,defect
-0.148575,defect
0.010829,defect
0.138682,defect
-0.03686,defect
-0.075452,defect
-0.108035,defect
0.072394,defect
-0.002854,defect
-0.103536,defect
-0.02846,defect
-0.026132,defect
0.079862,defect
0.018139,defect
-0.029332,defect
-0.065908,defect
-0.05933,defect
0.011107,defect
-0.041457,defect
-0.051139,defect
0.010041,defect
-0.017165,defect
-0.115414,defect
0.075856,defect
-0.00523,defect
0.007313,defect
-0.003339,defect
-0.046985,defect
0.01895,defect
0.043092,defect
-0.005739,defect
-0.094073,defect
0.019057,defect
-0.035354,defect
-0.014416,defect
-0.080759,defect
-0.02201,defect
0.078161,defect
0.066477,defect
-0.061493,defect
-0.002534,defect
0.058353,defect
0.015172,defect
-0.057863,defect
-0.037866,defect
-0.052553,defect
-0.046428,defect
-0.022198,defect
-0.133172,defect
0.011176,defect
-0.003442,defect
0.100239,defect
0.026883,defect
-0.034105,defect
0.052765,defect
-0.118166,defect
-0.044619,defect
-0.005792,defect
-0.033385,defect
-0.097798,defect
-0.088821,defect
0.129598,defect
0.043143,defect
-0.039964,defect
-0.089298,defect
0.097298,defect
0.127409,defect
-0.067726,defect
-0.037025,defect
-0.066911,defect
-0.032212,defect
-0.050997,defect
-0.085303,defect
-0.028277,defect
-0.04983,defect
0.064195,defect
0.057118,defect
-0.014159,defect
-0.000756,defect
-0.000266,defect
0.072793,defect
-0.114215,defect
-0.040707,defect
-0.043172,defect
-0.019843,defect
-0.054849,defect
-0.042925,defect
0.030543,defect
-0.00922,defect
-0.036949,defect
0.03978,defect
0.124568,defect
-0.174662,defect
0.067095,defect
-0.072021,defect
-0.013204,defect
-0.048377,defect
-0.12598,defect
0.033766,defect
-0.057209,defect
0.095144,defect
-0.063524,defect
0.009817,defect
-0.017923,defect
0.048011,defect
0.001142,defect
-0.09563,defect
0.001402,defect
-0.076132,defect
0.023992,defect
-0.113739,defect
-0.050477,defect
0.025239,defect
0.000673,defect
-0.020666,defect
-0.031131,defect
0.109479,defect
0.000583,defect
-0.071482,defect
-0.029774,defect
0.009568,defect
-0.054749,defect
-0.083602,defect
-0.034893,defect
0.078449,defect
-0.04259,defect
-0.099886,defect
0.046381,defect
0.070269,defect
0.001243,defect
-0.03783,defect
0.048751,defect
-0.035951,defect
-0.077275,defect
-0.038642,defect
-0.053086,defect
-0.043232,defect
0.029314,defect
-0.003034,defect
0.031256,defect
-0.078244,defect
0.064915,defect
0.020209,defect
-0.042563,defect
-0.054744,defect
-0.079465,defect
0.068458,defect
-0.072492,defect
-0.047429,defect
-0.053249,defect
0.066408,defect
-0.038943,defect
-0.018287,defect
-0.069637,defect
0.074745,defect
0.056605,defect
-0.054406,defect
-0.048701,defect
0.014383,defect
0.025191,defect
-0.168815,defect
0.002536,defect
-0.006206,defect
0.023227,defect
-0.041335,defect
0.038879,defect
0.005199,defect
-0.060279,defect
0.014077,defect
-0.039798,defect
-0.000693,defect
-0.034471,defect
0.012723,defect
-0.041457,defect
-0.055031,defect
0.023375,defect
-0.029312,defect
0.025769,defect
0.002373,defect
0.001003,defect
-0.035536,defect
-0.026746,defect
-0.001738,defect
0.041906,defect
0.028363,defect
-0.108762,defect
0.008572,defect
0.06419,defect
0.042146,defect
-0.104462,defect
-0.092814,defect
0.01324,defect
0.029431,defect
0.001021,defect
-0.03994,defect
0.117734,defect
-0.042061,defect
0.010163,defect
-0.059296,defect
-0.099414,defect
0.099921,defect
0.00677,defect
0.012411,defect
-0.130164,defect
0.099268,defect
0.093777,defect
-0.020225,defect
-0.081291,defect
-0.064736,defect
0.126872,defect
-0.00843,defect
-0.049094,defect
-0.057632,defect
0.067719,defect
-0.077961,defect
-0.031187,defect
0.083672,defect
0.055457,defect
0.005852,defect
-0.137271,defect
0.020843,defect
0.054234,defect
-0.016022,defect
-0.168708,defect
-0.009446,defect
0.221288,defect
0.010302,defect
-0.132335,defect
-0.103872,defect
0.15088,defect
0.116282,defect
-0.116922,defect
-0.028623,defect
0.142885,defect
0.08345,defect
-0.089064,defect
-0.033623,defect
-0.024575,defect
0.00672,defect
-0.07052,defect
-0.013368,defect
0.03906,defect
0.045241,defect
0.019433,defect
-0.040638,defect
0.107555,defect
0.029975,defect
-0.029845,defect
-0.102632,defect
0.082286,defect
0.102177,defect
-0.200569,defect
0.030005,defect
0.073282,defect
-0.005803,defect
0.026525,defect
-0.013152,defect
0.071811,defect
-0.043142,defect
0.006313,defect
-0.017144,defect
-0.021607,defect
-0.009747,defect
0.030581,defect
0.000898,defect
-0.057882,defect
0.004675,defect
-0.03867,defect
0.088281,defect
0.036593,defect
0.01927,defect
-0.09127,defect
0.055699,defect
0.050544,defect
-0.040375,defect
0.002523,defect
-0.016529,defect
0.038037,defect
-0.073411,defect
0.08257,defect
0.011523,defect
-0.039245,defect
0.019646,defect
0.02812,defect
-0.018047,defect
-0.011509,defect
0.037647,defect
-0.076913,defect
0.006316,defect
-0.016755,defect
0.05262,defect
0.087945,defect
-0.016599,defect
0.018026,defect
-0.006167,defect
0.041231,defect
-0.000803,defect
-0.001147,defect
0.024271,defect
-0.113985,defect
0.001424,defect
0.034737,defect
0.06601,defect
0.051936,defect
-0.021941,defect
0.06663,defect
0.087882,defect
0.042983,defect
-0.102783,defect
-0.0021,defect
-0.036376,defect
-0.074141,defect
0.039681,defect
0.047719,defect
-0.010512,defect
-0.070785,defect
0.035523,defect
0.075002,defect
0.017566,defect
-0.044448,defect
0.069397,defect
0.039339,defect
-0.07081,defect
-0.017526,defect
0.006392,defect
0.026503,defect
0.01499,defect
0.011387,defect
-0.063229,defect
0.100593,defect
0.02422,defect
-0.041601,defect
0.048034,defect
-0.035377,defect
0.009261,defect
-0.05137,defect
0.062803,defect
-0.061718,defect
-0.015642,defect
0.079164,defect
0.022645,defect
-0.020054,defect
-0.009154,defect
0.164164,defect
-0.083193,defect
-0.020023,defect
0.007949,defect
0.008028,defect
-0.030048,defect
-0.074838,defect
0.051663,defect
0.047902,defect
0.043274,defect
-0.064195,defect
0.106553,defect
0.056745,defect
-0.061984,defect
-0.011382,defect
0.085329,defect
-0.053589,defect
-0.05077,defect
0.037835,defect
-0.009118,defect
0.077013,defect
-0.058606,defect
0.05586,defect
0.084995,defect
-0.032656,defect
-0.093436,defect
0.052648,defect
0.008474,defect
-0.06329,defect
0.054672,defect
0.010092,defect
0.021444,defect
-0.021262,defect
0.07427,defect
0.027275,defect
0.02392,defect
0.041535,defect
-0.033922,defect
0.014074,defect
0.014131,defect
-0.079041,defect
0.026409,defect
0.00096,defect
-0.028368,defect
0.066446,defect
-0.035461,defect
